phrase 1	phrase 1 clean	phrase 2	phrase 2 clean	side to be replaced	SST replacement 1	SST replacement 2	SST replacement 3	SST replacement 4
this silly little puddle	this silly little puddle	of a movie	of a movie	left	a besotted and obvious drama	the conflicted complexity	the thin soup	the hollow state
this silly little puddle	this silly little puddle	of a movie	of a movie	right	of the artist's career	of human foibles and contradictions	of this trifle	of the bard's tragic play
a sudden lunch rush	a sudden lunch rush	at the diner	at the diner	left	the synergistic impulse	the best thing	an unflinching and objective look	a friendly kick
a sudden lunch rush	a sudden lunch rush	at the diner	at the diner	right	for a date	for its fiftysomething leading ladies	at the door	in their movie
the more hackneyed elements	the more hackneyed elements	of the film	of the film	left	the harsh reality	the story and ensuing complications	the mundane horrors	the typical problems
the more hackneyed elements	the more hackneyed elements	of the film	of the film	right	of this sort	of youth culture	of this true story	of her book
brutal honesty and respect	brutal honesty and respect	for its audience	for its audience	left	the cozy feeling	all the enjoyable randomness	the extravagant confidence	a rollicking good time
brutal honesty and respect	brutal honesty and respect	for its audience	for its audience	right	of comedy and romance	for the buffs	for people who haven't read the book	for precollegiate humor
such a graphic treatment	such a graphic treatment	of the crimes	of the crimes	left	an especially poignant portrait	a unique culture	the story and theme	an enigmatic film
such a graphic treatment	such a graphic treatment	of the crimes	of the crimes	right	of gory mayhem	of office politics	of the absurd	of consolation candy
a strangely tempting bouquet	a strangely tempting bouquet	of a movie	of a movie	left	a fascinating part	an affectionately goofy satire	a charismatic charmer	a great glimpse
a strangely tempting bouquet	a strangely tempting bouquet	of a movie	of a movie	right	of this film	of the film's city beginnings	of this ancient holistic healing system	of tolerance and diversity
the intelligence or sincerity	the intelligence or sincerity	it unequivocally deserves	it unequivocally deserves	left	a plot twist	this film's cast	the animation and backdrops	the television series
the intelligence or sincerity	the intelligence or sincerity	it unequivocally deserves	it unequivocally deserves	right	that is presented with universal appeal	that entertains even as it turns maddeningly predictable	that earns its moments of pathos	that revels in its own simplicity
a genuinely honest moment	a genuinely honest moment	in their movie	in their movie	left	the upbeat ending	this unique and entertaining twist	an exhilarating exploration	a moving experience
a genuinely honest moment	a genuinely honest moment	in their movie	in their movie	right	of the piece	in recent memory	of the directing world	of manual animation
another regurgitated action movie	another regurgitated action movie	you 're after	you're after	left	the same illogical things	a cold blanket	a dull moment	something creepy and vague
another regurgitated action movie	another regurgitated action movie	you 're after	you're after	right	we can make	that is controlled by neither character	that works only sporadically	that should move quickly
so much crypt mist	so much crypt mist	in the brain	in the brain	left	the harsh reality	a muddled drama	the emotional overload	a listless climb
so much crypt mist	so much crypt mist	in the brain	in the brain	right	in a brief amount of time	in the world's religions	for this genre	in his performance
much of the writing	much of the writing	is genuinely witty	is genuinely witty	left	the human story	the central performer	the film's message	the vast majority
much of the writing	much of the writing	is genuinely witty	is genuinely witty	right	portrays ultimate passion	should inspire reaction in its audience	was actually surprising	is universal and involving
the beauty and power	the beauty and power	of the opera	of the opera	left	this wonderful portrait	an engaging look	a visual treat	beautifully detailed performances
the beauty and power	the beauty and power	of the opera	of the opera	right	of a movie	of pop+AC0-music history	of the narratives	of teen life
the depth and breadth	the depth and breadth	of emotional intimacy	of emotional intimacy	left	the exotic world	that extra little something	a strong message	a decent glimpse
the depth and breadth	the depth and breadth	of emotional intimacy	of emotional intimacy	right	of theater history	of comedy and romance	of the struggling artiste	of moral right and wrong
its execution and skill	its execution and skill	of its cast	of its cast	left	the real charm	the wisdom and humor	a compelling portrait	beautifully detailed performances
its execution and skill	its execution and skill	of its cast	of its cast	right	of many of the characters	of this sort	of horror movie	for young women
this increasingly pervasive aspect	this increasingly pervasive aspect	of gay culture	of gay culture	left	a clear case	the videogame series	its adult themes	this film's relationship
this increasingly pervasive aspect	this increasingly pervasive aspect	of gay culture	of gay culture	right	of pop+AC0-music history	of this sort	of rural life	of this picture
the respected critical community	the respected critical community	in this country	in this country	left	a snappy screenplay	a serious drama	an honesty and dignity	the ultimate mysteries
the respected critical community	the respected critical community	in this country	in this country	right	from a large group of your relatives	of these performers and their era	of emotional heft	of characters and angles
the physically spectacular qualities	the physically spectacular qualities	of the film	of the film	left	the rich promise of the script	the real charm	the humor and intelligence	the integrity and vision
the physically spectacular qualities	the physically spectacular qualities	of the film	of the film	right	of this sort	of his characters	of popular culture	of a fall dawn
a cruelly funny twist	a cruelly funny twist	on teen comedy	on teen comedy	left	a deliciously nonsensical comedy	a celebrated wonder	a great ending	this wonderful portrait
a cruelly funny twist	a cruelly funny twist	on teen comedy	on teen comedy	right	of the opera	to what's going on here	on fraternity life	of human foibles and contradictions
A pleasant enough romance	a pleasant enough romance	with intellectual underpinnings	with intellectual underpinnings	left	the momentary joys	an eventual cult classic	a powerful political message	some nice chills
A pleasant enough romance	a pleasant enough romance	with intellectual underpinnings	with intellectual underpinnings	right	for older kids	of decadent urbanity	for this movie	of pop+AC0-music history
his own idiosyncratic strain	his own idiosyncratic strain	of kitschy goodwill	of kitschy goodwill	left	the same damn moldy values	a crash course	his problematic quest	a common tenet
his own idiosyncratic strain	his own idiosyncratic strain	of kitschy goodwill	of kitschy goodwill	right	of urban kids	of an unlikely friendship	of good kids and bad seeds	of character and mood
a high water mark	a high water mark	for this genre	for this genre	left	a strangely tempting bouquet	a fresh and dramatically substantial spin	a neat little story	a convincing impersonation
a high water mark	a high water mark	for this genre	for this genre	right	of cultures and generations	of her book	of this ancient holistic healing system	of growing up
a barely adequate babysitter	a barely adequate babysitter	for older kids	for older kids	left	the predictable plot	a cruel story	an unwieldy cast	the folly of superficiality
a barely adequate babysitter	a barely adequate babysitter	for older kids	for older kids	right	for this genre	for the audience	for the general public	for hungry tourists
A violent initiation rite	a violent initiation rite	for the audience	for the audience	left	the dramatic potential	the heroes of horror movies	a children's film	a plot twist
A violent initiation rite	a violent initiation rite	for the audience	for the audience	right	toward its subject	of mystery and quietness	of cat and mouse	of this ancient holistic healing system
the vast collective memory	the vast collective memory	of the combatants	of the combatants	left	all the mounting tension	an original treatment	almost every relationship and personality	some intriguing questions
the vast collective memory	the vast collective memory	of the combatants	of the combatants	right	of growing up	of characters and angles	of their work	of your date
a very original artist	a very original artist	in his medium	in his medium	left	a very ambitious project	his best work	a compelling portrait	a wonderful subject
a very original artist	a very original artist	in his medium	in his medium	right	in the film	of the country	in a college history course	to the romantic comedy genre
an especially poignant portrait	an especially poignant portrait	of her friendship	of her friendship	left	every emotional device	the richness of characterization	the cruel earnestness	the ultimate mysteries
an especially poignant portrait	an especially poignant portrait	of her friendship	of her friendship	right	of our times	of the directing world	of belly dancing	of the film's past
the needlessly poor quality	the needlessly poor quality	of its archival prints and film footage	of its archival prints and film footage	left	a pretentious and ultimately empty examination	the worst elements	the incessant use	noticeable lack
the needlessly poor quality	the needlessly poor quality	of its archival prints and film footage	of its archival prints and film footage	right	of the artist's career	of the play	of his images	of both sides
a pointed little chiller	a pointed little chiller	about the frightening seductiveness of new technology	about the frightening seductiveness of new technology	left	a pleasant enough romance	elaborate futuristic sets	a fresh and dramatically substantial spin	a neat little story
a pointed little chiller	a pointed little chiller	about the frightening seductiveness of new technology	about the frightening seductiveness of new technology	right	of the quirks of fame	about coming to terms with death	of the generation gap	of serial killers
a real human soul	a real human soul	buried beneath a spellbinding serpent 's smirk	buried beneath a spellbinding serpent's smirk	left	a spiritual aspect	some nice chills	a fairly irresistible package	the humor and humanity
a real human soul	a real human soul	buried beneath a spellbinding serpent 's smirk	buried beneath a spellbinding serpent's smirk	right	could have sprung from such a great one	can certainly not be emphasized enough	can justify evil means	trying to finish a race
everyone involved with moviemaking	everyone involved with moviemaking	is a con artist and a liar	is a con artist and a liar	left	the whole segment	the actor	a literary detective story	the ghost story
everyone involved with moviemaking	everyone involved with moviemaking	is a con artist and a liar	is a con artist and a liar	right	is ultimately held back from being something greater	isn't the least bit mesmerizing	can kill love	will be gored
an adorably whimsical comedy	an adorably whimsical comedy	that deserves more than a passing twinkle	that deserves more than a passing twinkle	left	some delightful work	a surprisingly faithful remake	a pretty convincing performance	a visual treat
an adorably whimsical comedy	an adorably whimsical comedy	that deserves more than a passing twinkle	that deserves more than a passing twinkle	right	that transports you	that keeps people going in this crazy life	that tries to tell of the unspeakable	that frustrates and captivates
the film 's story	the film's story	does not live up to its style	does not live up to its style	left	the last scene	the human tragedy	an action film	an opera movie
the film 's story	the film's story	does not live up to its style	does not live up to its style	right	seems contrived and secondhand	may not satisfy every moviegoer's appetite	is nothing special	doesn't work in a modern context
the full visceral impact	the full visceral impact	of a ruthless army on the warpath	of a ruthless army on the warpath	left	a chemistry and comfort level	a serious exploration	a wild ride	a cinematic postcard
the full visceral impact	the full visceral impact	of a ruthless army on the warpath	of a ruthless army on the warpath	right	of its chilly predecessor	of the absurd	of a shaggy dog story	of preaching to the converted
the characters ' moves	the characters' moves	are often more predictable than their consequences	are often more predictable than their consequences	left	the animation and backdrops	the multiple stories	those young whippersnappers	so many titans
the characters ' moves	the characters' moves	are often more predictable than their consequences	are often more predictable than their consequences	right	don't live up to material	are no picnic	don't quite fit	are nothing special
such a good design	such a good design	turns out to be a cheap knockoff	turns out to be a cheap knockoff	left	the top actor	the most enchanting film	this quality band	an oddly fascinating depiction
such a good design	such a good design	turns out to be a cheap knockoff	turns out to be a cheap knockoff	right	doesn't live up to material	may be shallow	is a lame kiddie flick	is certainly not earthshaking
the whole damned thing	the whole damned thing	did n't get our moral hackles up	didn't get our moral hackles up	left	the script's potential	the kind of movie	the other actors	all the performances
the whole damned thing	the whole damned thing	did n't get our moral hackles up	didn't get our moral hackles up	right	isn't the least bit mesmerizing	remains just that: an abstract idea	feels absolutely deja vu	may be overstating it
this unique and entertaining twist	this unique and entertaining twist	on the classic whale 's tale	on the classic whale's tale	left	an engrossing thriller	an engaging look	a fascinating study	an exhilarating exploration
this unique and entertaining twist	this unique and entertaining twist	on the classic whale 's tale	on the classic whale's tale	right	of this calibre	of comedy and romance	of this movie	of love and humility
the same damn moldy values	the same damn moldy values	the material has always held dear	the material has always held dear	left	the difficult subject	a slightly anarchic approach	all the dramatic weight	the seamy underbelly
the same damn moldy values	the same damn moldy values	the material has always held dear	the material has always held dear	right	the majority of action comedies have	that aren't entirely infantile	that resonate with profundity	it unequivocally deserves
the wit and revolutionary spirit	the wit and revolutionary spirit	of these performers and their era	of these performers and their era	left	lots of effort and intelligence	the kind of genuine depth	the extravagant confidence	all the enjoyable randomness
the wit and revolutionary spirit	the wit and revolutionary spirit	of these performers and their era	of these performers and their era	right	of cameras and souls	of its subjects	of their own pasts	of music videos
a rounded and revealing overview	a rounded and revealing overview	of this ancient holistic healing system	of this ancient holistic healing system	left	a feature debut	an oddly fascinating depiction	a solid formula	the true impact
a rounded and revealing overview	a rounded and revealing overview	of this ancient holistic healing system	of this ancient holistic healing system	right	of its energy	of new technology	of magic and mischief	of the medium
the pocket monster movie franchise	the pocket monster movie franchise	is nearly ready to keel over	is nearly ready to keel over	left	this novelistic story	the recording industry	the big screen	the otherwise compelling director
the pocket monster movie franchise	the pocket monster movie franchise	is nearly ready to keel over	is nearly ready to keel over	right	knocks it flat	isn't the least bit mesmerizing	can be found a tough beauty	is about what you'd expect
The modern master of the chase sequence	the modern master of the chase sequence	returns with a chase to end all chases	returns with a chase to end all chases	left	the great mind	a nice little story	a powerful political message	a pointed little chiller
The modern master of the chase sequence	the modern master of the chase sequence	returns with a chase to end all chases	returns with a chase to end all chases	right	is utterly convincing	is very original	makes it strangely magnetic	was actually surprising
the visuals and eccentricities	the visuals and eccentricities	of many of the characters	of many of the characters	left	the complicated relationships	the intelligence or sincerity	the playful paranoia	the culture clashes
the visuals and eccentricities	the visuals and eccentricities	of many of the characters	of many of the characters	right	of its subjects	of modern times	of children's television	of any movie
just a simple fable	just a simple fable	done in an artless style	done in an artless style	left	a chase flick	a sudsy tub	the multiple stories	a whole segment
just a simple fable	just a simple fable	done in an artless style	done in an artless style	right	buried beneath a spellbinding serpent's smirk	hidden in the film's thick shadows	to come out in weeks	is delivered with a hammer
all the enjoyable randomness	all the enjoyable randomness	of a very lively dream	of a very lively dream	left	the real charm	a suspenseful spin	the kind of genuine depth	the cozy feeling
all the enjoyable randomness	all the enjoyable randomness	of a very lively dream	of a very lively dream	right	of coherent dialogue	of a sudden lunch rush at the diner	of emotional intimacy	of female friendship
a pretty convincing performance	a pretty convincing performance	as a prissy teenage girl	as a prissy teenage girl	left	a compelling portrait	the kind of genuine depth	the cozy feeling	a compelling slice
a pretty convincing performance	a pretty convincing performance	as a prissy teenage girl	as a prissy teenage girl	right	of hollow despair	of grief and loss	of a truly frightening situation	of emotional blandness
a very ambitious project	a very ambitious project	for a fairly inexperienced filmmaker	for a fairly inexperienced filmmaker	left	a clever and captivating romantic comedy	a glorious groove	a great subject	a fascinating study
a very ambitious project	a very ambitious project	for a fairly inexperienced filmmaker	for a fairly inexperienced filmmaker	right	for the slain rappers	of unsettling atmospherics	to a very talented but underutilized supporting cast	of a conflicted soldier
the humor and humanity	the humor and humanity	that root it in feeling	that root it in feeling	left	a chemistry and comfort level	the movie's quiet affirmations	the momentary joys	significant character studies
the humor and humanity	the humor and humanity	that root it in feeling	that root it in feeling	right	that created it	that can be said of the picture	that tend to characterize puberty	that's opened between them
A literary detective story	a literary detective story	is still a detective story	is still a detective story	left	the film's message	an opera movie	an action movie	the film's story
A literary detective story	a literary detective story	is still a detective story	is still a detective story	right	is pushed to one side	is going to show up soon	is in the works	is given air to breathe
a supremely kittenish performance	a supremely kittenish performance	that gradually accumulates more layers	that gradually accumulates more layers	left	a uniquely sensual metaphorical dramatization	real visual charge	the delicious pulpiness	a really special walk
a supremely kittenish performance	a supremely kittenish performance	that gradually accumulates more layers	that gradually accumulates more layers	right	that takes time to enjoy	that root it in feeling	that dwarfs everything else in the film	that set in at this time of year
the road to hell	the road to hell	is paved with good intentions	is paved with good intentions	left	a frat boy's idea	the film's almost unbearable portrait	the folly of superficiality	the film's lamer instinct
the road to hell	the road to hell	is paved with good intentions	is paved with good intentions	right	will have luvvies in raptures	played a crucial role	is as adult as you can get	sustains interest and empathy
the value and respect	the value and respect	for the term epic cinema	for the term epic cinema	left	an oddly fascinating depiction	a worthwhile addition	a charismatic charmer	the humor and humanity
the value and respect	the value and respect	for the term epic cinema	for the term epic cinema	right	of painting this family dynamic for the audience	of coherent dialogue	of comedy and romance	of its sweeping battle scenes
a stunning lyrical work	a stunning lyrical work	of considerable force and truth	of considerable force and truth	left	the best espionage picture	the mesmerizing performances	an impressive and highly entertaining celebration	a delightful comedy
a stunning lyrical work	a stunning lyrical work	of considerable force and truth	of considerable force and truth	right	of becoming a better person through love	of true sophistication	of dreamlike ecstasy	of spare dialogue and acute expressiveness
The author 's devotees	the author's devotees	will probably find it fascinating	will probably find it fascinating	left	a main character	introverted young men	the kids in the house	the rest of the cast
The author 's devotees	the author's devotees	will probably find it fascinating	will probably find it fascinating	right	won't be disappointed	are quite admirable	are top notch	will be in warthog heaven
the genuinely funny jokes	the genuinely funny jokes	are few and far between	are few and far between	left	some nice chills	serious explorations	significant character studies	neat little stories
the genuinely funny jokes	the genuinely funny jokes	are few and far between	are few and far between	right	recycle old tropes	are on display	are standard procedure	can certainly not be emphasized enough
a compelling dramatic means	a compelling dramatic means	of addressing a complex situation	of addressing a complex situation	left	a thoughtful and unflinching examination	the movie's power	the shocking conclusion	an original treatment
a compelling dramatic means	a compelling dramatic means	of addressing a complex situation	of addressing a complex situation	right	of coherent dialogue	of pretty and weightless intellectual entertainment	of entertainment and education	of adapting to loss
this predictable romantic comedy	this predictable romantic comedy	should get a pink slip	should get a pink slip	left	a cold old man	the legacy of war	the difficult subject	his own idiosyncratic strain
this predictable romantic comedy	this predictable romantic comedy	should get a pink slip	should get a pink slip	right	kills the effect	can be found a tough beauty	may be overstating it	is so graphically excessive
The issue of faith	the issue of faith	is not explored very deeply	is not explored very deeply	left	the dry wit	the addition of a biblical message	just the vampire	the testimony of witnesses
The issue of faith	the issue of faith	is not explored very deeply	is not explored very deeply	right	may be overstating it	feels absolutely deja vu	is so graphically excessive	is too obvious
its rather routine script	its rather routine script	is loaded with familiar situations	is loaded with familiar situations	left	the only fun part	the final product	a no+AC0-surprise series	this silly little puddle
its rather routine script	its rather routine script	is loaded with familiar situations	is loaded with familiar situations	right	can justify evil means	is standard procedure	disrupts life's stasis	is just what you get
all of its ideas	all of its ideas	remain just that : abstract ideas	remain just that: abstract ideas	left	the bodily function jokes	the otherwise compelling directors	the earnest tries	the real stars
all of its ideas	all of its ideas	remain just that : abstract ideas	remain just that: abstract ideas	right	seem like mere splashing around in the muck	are too grave for youngsters	are about what you'd expect	are a little peculiar
his character 's abundant humanism	his character's abundant humanism	makes him the film 's moral compass	makes him the film's moral compass	left	the intricate preciseness	the general's fate	the reassuring manner	his resolutely dramatic variation
his character 's abundant humanism	his character's abundant humanism	makes him the film 's moral compass	makes him the film's moral compass	right	appeals to you	becomes a part of its fun	sustains interest and empathy	is so darned assured
people from such diverse cultures	people from such diverse cultures	share the same human and spiritual needs	share the same human and spiritual needs	left	the most breathtakingly designed films	so many talented people	the riveting performances	the modern masters
people from such diverse cultures	people from such diverse cultures	share the same human and spiritual needs	share the same human and spiritual needs	right	live happily ever after	sustain interest and empathy	played a crucial role	will have luvvies in raptures
even cranky adults	even cranky adults	may rediscover the quivering kid inside	may rediscover the quivering kid inside	left	a marathon runner	the fanatical adherent	a large cast	your festive spirit
even cranky adults	even cranky adults	may rediscover the quivering kid inside	may rediscover the quivering kid inside	right	live happily ever after	are too cute	are trying to go	share the same human and spiritual needs
this holiday movie	this holiday movie	is supposed to be a gift	is supposed to be a gift	left	a simple tale	a haunting dramatization	the psychological thriller	the plot of the comeback curlers
this holiday movie	this holiday movie	is supposed to be a gift	is supposed to be a gift	right	will be realized on the screen	is not explored very deeply	kills the effect	could make you weep
the usual portrayals	the usual portrayals	of good kids and bad seeds	of good kids and bad seeds	left	the mere suggestion	the film's story	the director's common but unexplored fascination	the videogame series
the usual portrayals	the usual portrayals	of good kids and bad seeds	of good kids and bad seeds	right	of a deeply personal subject	of her friendship	of pop+AC0-music history	of growing up
a moral tale	a moral tale	with a twisted sense of humor	with a twisted sense of humor	left	a moving experience	a compelling portrait	a genuinely honest moment	a powerful and deeply moving example
a moral tale	a moral tale	with a twisted sense of humor	with a twisted sense of humor	right	with a sane eye	for the big screen	by the incredibly flexible cast	with real world events
a haunting dramatization	a haunting dramatization	of a couple 's moral ascension	of a couple's moral ascension	left	the ultimate mysteries	a serious drama	the vertiginous perspectives	all the depth
a haunting dramatization	a haunting dramatization	of a couple 's moral ascension	of a couple's moral ascension	right	of romantic innocence and philosophical depth	of neighborhood values	of human power	of love and humility
this novelistic story	this novelistic story	of entangled interrelationships and complex morality	of entangled interrelationships and complex morality	left	a chase flick	the meaning and consolation	the overall feel	its weighty themes
this novelistic story	this novelistic story	of entangled interrelationships and complex morality	of entangled interrelationships and complex morality	right	of true sophistication	of love and companionship	about never giving up on a loved one	of considerable force and truth
those underrated professionals	those underrated professionals	who deserve but rarely receive it	who deserve but rarely receive it	left	so many of us	action heroes	the difficult subjects	working women +AC0ALQ- or at least this working woman +AC0ALQ-
those underrated professionals	those underrated professionals	who deserve but rarely receive it	who deserve but rarely receive it	right	that frustrate and captivate	that are presented with universal appeal	that earn their moments of pathos	that transcend language
a male hooker	a male hooker	approaching the end of his vitality	approaching the end of his vitality	left	that underrated professional	a tuba+AC0-playing dwarf	this stuck pig	an oafish idiot
a male hooker	a male hooker	approaching the end of his vitality	approaching the end of his vitality	right	stuffed into an otherwise mediocre film	can be found a tough beauty	can kill love	is a little peculiar
a delicate balance	a delicate balance	of romantic innocence and philosophical depth	of romantic innocence and philosophical depth	left	the fleeting joys	a serious drama	the synergistic impulse	the real story
a delicate balance	a delicate balance	of romantic innocence and philosophical depth	of romantic innocence and philosophical depth	right	of intelligence and wit	of human power	of wit and dignity	of love and bloodletting
an old friend	an old friend	haunted by the exigencies of time	haunted by the exigencies of time	left	a serious drama	a enigmatic film	a sobering meditation	the ultimate exercise
an old friend	an old friend	haunted by the exigencies of time	haunted by the exigencies of time	right	is in the works	travels back and forth between epochs	disrupts life's stasis	keeps him at arms length
the main character	the main character	travels back and forth between epochs	travels back and forth between epochs	left	introverted young man	the new film	the young whippersnapper	the crazy thing
the main character	the main character	travels back and forth between epochs	travels back and forth between epochs	right	is just what you get	is pushed to one side	is in the title	armed with nothing but a camera
Its adult themes	its adult themes	of familial separation and societal betrayal	of familial separation and societal betrayal	left	the peculiar egocentricities	the film's strength	this latest reincarnation	a certain degree
Its adult themes	its adult themes	of familial separation and societal betrayal	of familial separation and societal betrayal	right	of a sports extravaganza	of veracity and narrative grace	of entangled interrelationships and complex morality	of a good vampire tale
a surprising winner	a surprising winner	with both adults and younger audiences	with both adults and younger audiences	left	a visually masterful work	Oscar caliber cast	a wonderous accomplishment	the best espionage picture
a surprising winner	a surprising winner	with both adults and younger audiences	with both adults and younger audiences	right	in this country	of lowbrow comedy	of college football games	of real life
a unique culture	a unique culture	that is presented with universal appeal	that is presented with universal appeal	left	the highest power of all	an arcane area	a creamy filling	its sensitive handling
