phrase	maxabs+AF8-rating	sentiment
a surprisingly faithful remake of its chilly predecessor	0.44	3.33
a farcically bawdy fantasy of redemption and regeneration	0.33	3
a rollicking good time for the most part	0.89	4.67
the animation and backdrops are lush and inventive	0.22	5
flourishes +AC0ALQ- artsy fantasy sequences +AC0ALQ- that simply feel wrong	1.78	1
this oddly sweet comedy about jokester highway patrolmen	0.22	4.33
something creepy and vague is in the works	2.33	3.67
the remarkable ensemble cast brings them to life	0.56	5.33
a new software program spit out the screenplay	1.11	2.67
a freshness and modesty that transcends their predicament	0.78	5.33
the disappointingly generic nature of the entire effort	0.78	0.33
the moral dilemma at the movie's heart	1	3
the life experiences of a particular theatrical family	1.33	4.67
a soothing formula of brotherly conflict and reconciliation	0.44	4.67
a playful recapitulation of the artist's career	0.56	5
the cozy feeling of relaxing around old friends	0.22	4.67
the playful paranoia of the film's past	1.22	4
a great actress tearing into a landmark role	1.11	4.67
the real story starts just around the corner	1.22	3.67
a classroom play in a college history course	0.56	2.33
the very hollowness of the character he plays	0.78	1.67
particularly eccentric people have particularly eccentric living spaces	0.67	2.67
a wonderous accomplishment of veracity and narrative grace	0.22	5.67
a chase flick that detracts from its ending	0.33	2
the grown men who sit in the stands	0.67	3
a nice concept for its fiftysomething leading ladies	0.22	4
the fleeting joys of love's brief moment	0.89	4.33
a spiritual aspect of their characters' suffering	0.78	4
sensitive married women who really love other women	0.44	3
the emotional arc of its raw blues soundtrack	1.11	4.33
a clear case of preaching to the converted	0.22	2
its compassionate spirit soars every bit as high	0.67	5.33
the entire point of a shaggy dog story	1.33	4
the overall impact the movie could have had	0.78	2.67
their deepest notions of moral right and wrong	0.56	3.33
a marathon runner trying to finish a race	0.78	3.33
the human story is pushed to one side	1.44	2
Its weighty themes are too grave for youngsters	0.33	2
the contrived nature of its provocative conclusion	1.67	1.33
a dualistic battle between good and evil	1	3
the noble tradition of men in drag	0.67	3.67
a sad picture of the singles scene	0.44	2.33
this future world feels absolutely deja vu	0.89	1.67
the dutiful precision of a tax accountant	0.33	3
a rare window on an artistic collaboration	0.67	4.67
the ultimate mysteries of life and death	1	3
a simple tale of an unlikely friendship	1.56	5.33
easily accessible stories that resonate with profundity	0.78	5
a main character who sometimes defies sympathy	1.44	1.67
the modern master of the chase sequence	1.11	5
a crusty treatment of a clever gimmick	0.67	2.33
the difficult process of adapting to loss	0.44	3
a no+AC0-surprise series of explosions and violence	2.22	0.67
those of you who read the book	0.33	3
an enjoyable film in its own right	0.78	5.33
this wonderful portrait of a conflicted soldier	0.44	5.67
the difficult subject of grief and loss	1	1.67
the overlooked pitfalls of such an endeavour	1.22	2
a flattering sense of mystery and quietness	0.78	4
a gentle blend of present day testimonials	0.56	3.67
a fascinating study of isolation and frustration	0.56	4.33
the visual wit of the previous pictures	0.89	3.67
the annoying demeanour of its lead character	0.78	1.67
their best work in their underwritten roles	0.33	5
a certain degree of wit and dignity	0.78	3.67
a pale imitation of the real deal	1.44	0.67
the immediate aftermath of the terrorist attacks	0.89	2
the complicated relationships in a marching band	0.33	3.33
the pilot episode of a TV series	0.11	3
the cinematic equivalent of a legal indictment	0.44	3
the glass slipper doesn't quite fit	1	2.33
a delightful stimulus for the optic nerves	0.22	5
a solid formula for successful animated movies	0.33	4.67
the additional storyline is interesting and entertaining	0.33	5
this engaging mix of love and bloodletting	1.22	5
the performances of the young players are utterly convincing	0.56	5.33
the predictability of bland comfort food appeals to you	0.78	3.67
the overall feel of the film is pretty cheesy	1.67	0.67
such a clever adaptation of the bard's tragic play	0.22	5
a powerful political message stuffed into an otherwise mediocre film	1	2.67
the debate it joins is a necessary and timely one	1.44	4.67
the buoyant energy level of the film's city beginnings	0.78	5
the worst of tragedies can be fertile sources of humor	0.11	3.33
the art direction and costumes are gorgeous and finely detailed	0.33	5.33
an inexpressible and drab wannabe looking for that exact niche	1.33	2
an aborbing if arguable case for the man's greatness	0.56	4.67
this gentle and affecting melodrama will have luvvies in raptures	0.56	4
the movie's quiet affirmation of neighborhood values	0.22	4.33
the franchise's best years are long past	4.11	0.33
the intellectual and emotional pedigree of your date	1.56	2.67
the film's easygoing blend of comedy and romance	0.56	4.33
the kind of art shots that fill gallery shows	1.11	4.67
the film's lamer instincts are in the saddle	0.67	1.67
the pushiness and decibel volume of most contemporary comedies	0.89	3.33
the adrenaline jolt of a sudden lunch rush at the diner	0.67	3.67
this particular result is ultimately held back from being something greater	0.33	1.67
a college student who sees himself as impervious to a fall	0.78	2.33
the crazy things that keep people going in this crazy life	1	3
the romantic urgency that's at the center of the story	0.44	3.33
a strong message about never giving up on a loved one	0.22	5.33
a moving experience for people who haven't read the book	0.33	4.33
a dull moment in the giant spider invasion comic chiller	1	2
the subject matter is as adult as you can get	1	3
the real horror may be waiting for us at home	1	1.33
the same ideas repeated in films over and over again	0.56	2
a realistic atmosphere that involves us in the unfolding crisis	0.33	4.67
an amazing performance that dwarfs everything else in the film	1.11	5.67
the creepy crawlies hidden in the film's thick shadows	1	3.67
fans of the animated wildlife adventure show will be in warthog heaven	1.56	5.67
its careful pace and seemingly opaque story may not satisfy every moviegoer's appetite	0.44	2
a few of the characters act in ways that real people wouldn't	0.33	1.67
the problems and characters it reveals are universal and involving	0.22	4.67
the message of our close ties with animals can certainly not be emphasized enough	0.33	3.67
the film's messages of tolerance and diversity aren't particularly original	0.78	1.33
the experience of going to a film festival is a rewarding one	1.56	6
